github.com/AlDanial/cloc v 2.06  T=22.46 s (346.9 files/s, 62200.7 lines/s)
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                                                                         blank        comment           code
./server/sonar-db-dao/src/it/java/org/sonar/db/rule/RuleDaoIT.java                                                                                                                                             234             22           1163
./server/sonar-server-common/src/it/java/org/sonar/server/rule/index/RuleIndexIT.java                                                                                                                          255            130           1160
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/hotspot/ws/ShowActionIT.java                                                                                                                      210             19           1116
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/measure/ws/ComponentTreeActionIT.java                                                                                                             150             29           1108
./server/sonar-db-dao/build/generated/source/proto/main/java/org/sonar/db/protobuf/DbProjectBranches.java                                                                                                       62            255           1101
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/setting/ws/SetActionIT.java                                                                                                                       163             20           1098
./server/sonar-alm-client/src/test/java/org/sonar/alm/client/github/GithubApplicationClientImplTest.java                                                                                                       151             22           1062
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/rule/ws/SearchActionIT.java                                                                                                                       161             37            991
./server/sonar-db-dao/src/it/java/org/sonar/db/permission/AuthorizationDaoIT.java                                                                                                                              206             83            979
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/qualityprofile/QProfileRuleImplIT.java                                                                                                            209             53            979
./server/sonar-db-dao/src/it/java/org/sonar/db/issue/IssueDaoIT.java                                                                                                                                           199             42            965
./server/sonar-db-dao/src/it/java/org/sonar/db/property/PropertiesDaoIT.java                                                                                                                                   138             61            951
./server/sonar-webserver-es/src/test/java/org/sonar/server/issue/index/IssueIndexSecurityReportsTest.java                                                                                                      108             24            918
./server/sonar-webserver-common/src/it/java/org/sonar/server/common/user/service/UserServiceIT.java                                                                                                            220             19            886
./server/sonar-db-dao/src/it/java/org/sonar/db/permission/GroupPermissionDaoIT.java                                                                                                                            173             26            831
./server/sonar-webserver-es/src/test/java/org/sonar/server/issue/index/IssueIndexFacetsTest.java                                                                                                               148             20            827
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/issue/ws/BulkChangeActionIT.java                                                                                                                  116             29            825
./sonar-sarif/build/generated-sources/js2p/org/sonar/sarif/pojo/Result.java                                                                                                                                    126            408            822
./server/sonar-webserver-es/src/test/java/org/sonar/server/issue/index/IssueIndexFiltersTest.java                                                                                                              179             38            809
./server/sonar-server-common/src/test/java/org/sonar/server/issue/IssueFieldsSetterTest.java                                                                                                                   143             25            802
./server/sonar-db-dao/src/it/java/org/sonar/db/purge/PurgeCommandsIT.java                                                                                                                                      168             44            784
./server/sonar-db-dao/src/it/java/org/sonar/db/qualityprofile/QualityProfileDaoIT.java                                                                                                                         180             31            768
./server/sonar-db-dao/src/it/java/org/sonar/db/component/BranchDaoIT.java                                                                                                                                      156             32            767
./server/sonar-db-dao/src/it/java/org/sonar/db/ce/CeActivityDaoIT.java                                                                                                                                         174             55            764
